kra17 kra79
10 9.94724e-18 1.08783e-17
10.01 9.9575e-18 1.08888e-17
10.02 9.96778e-18 1.08994e-17
10.03 9.97807e-18 1.09099e-17
10.0401 9.98837e-18 1.09205e-17
10.0501 9.99867e-18 1.09311e-17
10.0602 1.0009e-17 1.09416e-17
10.0702 1.00193e-17 1.09522e-17
10.0803 1.00297e-17 1.09628e-17
10.0904 1.004e-17 1.09735e-17
10.1005 1.00504e-17 1.09841e-17
10.1106 1.00607e-17 1.09947e-17
10.1207 1.00711e-17 1.10054e-17
10.1308 1.00815e-17 1.10161e-17
10.1409 1.00919e-17 1.10267e-17
10.1511 1.01023e-17 1.10374e-17
10.1612 1.01127e-17 1.10481e-17
10.1714 1.01232e-17 1.10588e-17
10.1815 1.01336e-17 1.10695e-17
10.1917 1.01441e-17 1.10803e-17
10.2019 1.01545e-17 1.1091e-17
10.2121 1.0165e-17 1.11018e-17
10.2223 1.01755e-17 1.11125e-17
10.2325 1.0186e-17 1.11233e-17
10.2428 1.01965e-17 1.11341e-17
10.253 1.0207e-17 1.11449e-17
10.2633 1.02175e-17 1.11557e-17
10.2735 1.02281e-17 1.11665e-17
10.2838 1.02386e-17 1.11773e-17
10.2941 1.02492e-17 1.11882e-17
10.3044 1.02598e-17 1.1199e-17
10.3147 1.02703e-17 1.12099e-17
10.325 1.02809e-17 1.12207e-17
10.3353 1.02915e-17 1.12316e-17
10.3457 1.03021e-17 1.12425e-17
10.356 1.03128e-17 1.12534e-17
10.3664 1.03234e-17 1.12643e-17
10.3767 1.0334e-17 1.12753e-17
10.3871 1.03447e-17 1.12862e-17
10.3975 1.03553e-17 1.12972e-17
10.4079 1.0366e-17 1.13081e-17
10.4183 1.03767e-17 1.13191e-17
10.4287 1.03874e-17 1.13301e-17
10.4392 1.03981e-17 1.13411e-17
10.4496 1.04088e-17 1.13521e-17
10.46 1.04196e-17 1.13631e-17
10.4705 1.04303e-17 1.13741e-17
10.481 1.0441e-17 1.13852e-17
10.4915 1.04518e-17 1.13962e-17
10.5019 1.04626e-17 1.14073e-17
10.5124 1.04734e-17 1.14183e-17
10.523 1.04842e-17 1.14294e-17
10.5335 1.0495e-17 1.14405e-17
10.544 1.05058e-17 1.14516e-17
10.5546 1.05166e-17 1.14627e-17
10.5651 1.05274e-17 1.14739e-17
10.5757 1.05383e-17 1.1485e-17
10.5863 1.05491e-17 1.14962e-17
10.5968 1.056e-17 1.15073e-17
10.6074 1.05709e-17 1.15185e-17
10.618 1.05818e-17 1.15297e-17
10.6287 1.05927e-17 1.15409e-17
10.6393 1.06036e-17 1.15521e-17
10.6499 1.06145e-17 1.15633e-17
10.6606 1.06255e-17 1.15745e-17
10.6712 1.06364e-17 1.15858e-17
10.6819 1.06474e-17 1.1597e-17
10.6926 1.06583e-17 1.16083e-17
10.7033 1.06693e-17 1.16196e-17
10.714 1.06803e-17 1.16309e-17
10.7247 1.06913e-17 1.16422e-17
10.7354 1.07023e-17 1.16535e-17
10.7462 1.07133e-17 1.16648e-17
10.7569 1.07244e-17 1.16761e-17
10.7677 1.07354e-17 1.16875e-17
10.7784 1.07465e-17 1.16988e-17
10.7892 1.07575e-17 1.17102e-17
10.8 1.07686e-17 1.17216e-17
10.8108 1.07797e-17 1.1733e-17
10.8216 1.07908e-17 1.17444e-17
10.8324 1.08019e-17 1.17558e-17
10.8433 1.0813e-17 1.17672e-17
10.8541 1.08241e-17 1.17787e-17
10.865 1.08353e-17 1.17901e-17
10.8758 1.08464e-17 1.18016e-17
10.8867 1.08576e-17 1.1813e-17
10.8976 1.08688e-17 1.18245e-17
10.9085 1.088e-17 1.1836e-17
10.9194 1.08912e-17 1.18475e-17
10.9303 1.09024e-17 1.18591e-17
10.9413 1.09136e-17 1.18706e-17
10.9522 1.09248e-17 1.18821e-17
10.9631 1.09361e-17 1.18937e-17
10.9741 1.09473e-17 1.19053e-17
10.9851 1.09586e-17 1.19168e-17
10.9961 1.09699e-17 1.19284e-17
11.0071 1.09812e-17 1.194e-17
11.0181 1.09925e-17 1.19516e-17
11.0291 1.10038e-17 1.19633e-17
11.0401 1.10151e-17 1.19749e-17
11.0512 1.10264e-17 1.19866e-17
11.0622 1.10378e-17 1.19982e-17
11.0733 1.10492e-17 1.20099e-17
11.0843 1.10605e-17 1.20216e-17
11.0954 1.10719e-17 1.20333e-17
11.1065 1.10833e-17 1.2045e-17
11.1176 1.10947e-17 1.20567e-17
11.1287 1.11061e-17 1.20684e-17
11.1399 1.11175e-17 1.20802e-17
11.151 1.1129e-17 1.20919e-17
11.1622 1.11404e-17 1.21037e-17
11.1733 1.11519e-17 1.21155e-17
11.1845 1.11634e-17 1.21273e-17
11.1957 1.11748e-17 1.21391e-17
11.2069 1.11863e-17 1.21509e-17
11.2181 1.11978e-17 1.21627e-17
11.2293 1.12094e-17 1.21746e-17
11.2405 1.12209e-17 1.21864e-17
11.2518 1.12324e-17 1.21983e-17
11.263 1.1244e-17 1.22102e-17
11.2743 1.12555e-17 1.22221e-17
11.2856 1.12671e-17 1.2234e-17
11.2969 1.12787e-17 1.22459e-17
11.3081 1.12903e-17 1.22578e-17
11.3195 1.13019e-17 1.22697e-17
11.3308 1.13135e-17 1.22817e-17
11.3421 1.13252e-17 1.22936e-17
11.3534 1.13368e-17 1.23056e-17
11.3648 1.13485e-17 1.23176e-17
11.3762 1.13601e-17 1.23296e-17
11.3875 1.13718e-17 1.23416e-17
11.3989 1.13835e-17 1.23536e-17
11.4103 1.13952e-17 1.23657e-17
11.4217 1.14069e-17 1.23777e-17
11.4332 1.14187e-17 1.23898e-17
11.4446 1.14304e-17 1.24019e-17
11.456 1.14421e-17 1.24139e-17
11.4675 1.14539e-17 1.2426e-17
11.479 1.14657e-17 1.24381e-17
11.4904 1.14775e-17 1.24503e-17
11.5019 1.14893e-17 1.24624e-17
11.5134 1.15011e-17 1.24745e-17
11.5249 1.15129e-17 1.24867e-17
11.5365 1.15247e-17 1.24989e-17
11.548 1.15366e-17 1.25111e-17
11.5596 1.15484e-17 1.25233e-17
11.5711 1.15603e-17 1.25355e-17
11.5827 1.15722e-17 1.25477e-17
11.5943 1.15841e-17 1.25599e-17
11.6059 1.1596e-17 1.25722e-17
11.6175 1.16079e-17 1.25844e-17
11.6291 1.16198e-17 1.25967e-17
11.6407 1.16317e-17 1.2609e-17
11.6524 1.16437e-17 1.26213e-17
11.664 1.16557e-17 1.26336e-17
11.6757 1.16676e-17 1.26459e-17
11.6874 1.16796e-17 1.26582e-17
11.699 1.16916e-17 1.26706e-17
11.7107 1.17036e-17 1.26829e-17
11.7224 1.17157e-17 1.26953e-17
11.7342 1.17277e-17 1.27077e-17
